トピック,Phi,単語
2,0.00355086825217067,なかっ
6,0.0794365176680424,た
10,0.0424280095241827,。
14,0.0288857755068411,医療
6,0.0167344777616767,機関
0,0.0142187943597996,側
6,0.0320616430721217,が
14,0.0412477336410099,接種
6,0.0696828670159411,と
6,0.104517333630589,の
14,0.0165238173726723,関連
2,0.103824556436392,が
2,0.0200665345413366,ある
6,0.0696828670159411,と
6,0.0446020510533948,し
10,0.05196534985595,た
14,0.0165238173726723,例
7,0.113879474687567,は
6,0.00558744844498948,７
2,0.0259649867874672,３
2,0.0259649867874672,３
14,0.0618509971979579,件
0,0.0118529383931108,だっ
6,0.0794365176680424,た
10,0.0424280095241827,。
10,0.0105272504834438,パソコン
10,0.0825506136785141,の
10,0.0180913479879489,遠隔
10,0.0194068432061237,操作
10,0.0203934646197548,事件
6,0.0627159736930116,で
10,0.0878125945512133,、
10,0.0101983766789001,警視庁
2,0.0648947716119297,など
6,0.104517333630589,の
10,0.00592301721983203,合同
10,0.0161181051606867,捜査
10,0.00954062906981273,本部
7,0.113879474687567,は
10,0.0878125945512133,、
10,0.00296315297893873,都内
6,0.0459954297179807,に
1,0.0388544091026649,住む
1,0.01299456943367,Ｉ
1,0.01299456943367,Ｔ
14,0.0165238173726723,関連
14,0.0371270809296203,会社
10,0.00329202678348243,社員
10,0.0825506136785141,の
2,0.0259649867874672,３
14,0.0948162188890747,０
17,0.0163887526565314,歳
10,0.0825506136785141,の
2,0.0271446772366934,男
2,0.103824556436392,が
10,0.0878125945512133,、
17,0.0327366356056898,去年
7,0.0106174539292524,８月
6,0.110090848288932,、
2,0.023605605889015,インターネット
6,0.104517333630589,の
10,0.00526526961074463,掲示板
10,0.0641336806240669,に
7,0.0212084304172847,漫画
2,0.108543318233297,の
17,0.0368236063429795,イベント
6,0.0627159736930116,で
10,0.00329202678348243,大量
10,0.00789626004709423,殺人
4,0.145797911100322,を
6,0.00837420577416129,する
10,0.0118427457016186,予告
10,0.055254087901387,を
10,0.00493639580620093,書き込ん
10,0.00756738624255053,だ
10,0.00460752200165723,として
10,0.00559414341528833,威力
10,0.00822513385163793,業務
10,0.00855400765618163,妨害
6,0.104517333630589,の
1,0.0647142487716599,疑い
6,0.0627159736930116,で
10,0.0213800860333859,逮捕
6,0.0446020510533948,し
1,0.0970390483579036,まし
10,0.05196534985595,た
6,0.0655027310221834,。
2,0.0271446772366934,男
6,0.0529623230409102,は
0,0.0449749219267538,「
10,0.00263427917439504,事実
6,0.0627159736930116,で
6,0.0529623230409102,は
19,0.0340847180604745,あり
19,0.0408948515390908,ませ
19,0.0408948515390908,ん
5,0.0805818401449597,」
10,0.0335484168015028,と
10,0.0243399502742792,容疑
4,0.145797911100322,を
19,0.0408948515390908,否認
10,0.0368371548469398,し
2,0.107363627784071,て
6,0.00837420577416129,いる
1,0.0711792086889087,という
2,0.0507384862212161,こと
1,0.103504008275152,です
10,0.0424280095241827,。
10,0.0213800860333859,逮捕
2,0.0401212721781808,さ
2,0.0932073423933569,れ
7,0.108583986443551,た
6,0.104517333630589,の
19,0.1702873876328,は
6,0.110090848288932,、
10,0.00559414341528833,東京
6,0.0167344777616767,・
10,0.00427864819711353,江東
10,0.00394977439256983,区
6,0.0459954297179807,に
1,0.0388544091026649,住む
2,0.023605605889015,インターネット
14,0.0165238173726723,関連
